Paises,Total - 1990,Total - 2020,Combustíveis sólidos - 1990,Combustíveis sólidos - 2020,Petróleo bruto e produtos petrolíferos -1990,Petróleo bruto e produtos petrolíferos - 2020,Gás - 1990,Gás -2020,Energia nuclear -1990,Energia nuclear - 2020,Energias renováveis - 1990,Energias renováveis - 2020
UE27 (2020) - União Europeia 27 (desde 2020); 740 771,8; 573 822,4; 305 507,7; 83 590,1; 40 415,0; 21 453,6; 123 067,3; 41 187,1; 188 580,2; 175 175,1; 70 802,3; 234 182,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE - Alemanha; 186 606,0; 97 976,4; 121 689,2; 23 387,8; 5 350,4; 3 284,1; 13 532,1; 4 030,8; 39 636,3; 16 576,8; 5 313,4; 46 507,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT - Áustria; 8 136,1; 12 387,9; 637,3; 0,0; 1 208,0; 570,7; 1 107,7; 632,6; 0,0; 0,0; 4 990,1; 10 513,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE - Bélgica; 12 420,7; 13 333,7; 609,7; 0,0; 0,0; 0,0; 9,7; 4,6; 11 020,3; 8 370,0; 481,2; 3 991,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BG - Bulgária; 9 260,2; 10 832,0; 5 090,9; 3 732,4; 60,6; 0,0; 11,3; 47,8; 3 782,9; 4 334,7; 314,5; 2 579,6;;;;;;;;;;;;;;;;;;;;;;;;;;;
CY - Chipre; 6,1; 218,3; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 6,1; 210,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HR - Croácia; 5 696,0; 3 729,5; 100,8; 0,0; 2 775,1; 661,6; 1 619,3; 705,1; 0,0; 0,0; 1 200,8; 2 323,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DK - Dinamarca; 10 135,3; 9 532,0; 0,0; 0,0; 6 113,1; 3 615,4; 2 769,8; 1 190,9; 0,0; 0,0; 1 085,8; 4 343,8;;;;;;;;;;;;;;;;;;;;;;;;;;;
SK - Eslováquia; 5 252,3; 6 758,9; 1 396,6; 244,4; 77,1; 4,0; 338,2; 54,7; 3 104,7; 4 044,0; 328,0; 2 185,4;;;;;;;;;;;;;;;;;;;;;;;;;;;
SI - Eslovénia; 3 056,3; 3 505,8; 1 350,3; 865,4; 3,0; 0,4; 20,2; 4,6; 1 192,3; 1 496,9; 490,5; 1 081,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ES - Espanha; 34 357,5; 35 422,9; 11 675,3; 0,0; 1 127,7; 28,3; 1 273,2; 41,6; 13 998,6; 15 174,0; 6 221,9; 19 639,3;;;;;;;;;;;;;;;;;;
EE - Estónia; 5 225,9; 4 379,5; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 187,9; 1 844,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI - Finlândia; 12 030,6; 18 413,4; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 4 956,8; 5 547,6; 5 255,0; 11 855,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR - França; 110 637,3; 122 586,5; 7 811,7; 0,0; 3 494,3; 764,1; 2 515,7; 15,6; 81 018,3; 92 211,0; 15 224,3; 27 962,8;;;;;;;;;;;;;;;;
GR - Grécia; 9 198,5; 4 946,5; 7 118,5; 1 630,3; 837,2; 92,6; 138,1; 6,7; 0,0; 0,0; 1 104,7; 3 207,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU - Hungria; 14 719,0; 10 588,2; 4 223,8; 932,6; 2 340,1; 1 032,5; 3 811,6; 1 320,4; 3 542,0; 4 053,0; 789,8; 3 100,9;;;;;;;;;;;;;;;;
IE - Irlanda; 3 467,4; 3 536,9; 15,6; 0,0; 0,0; 0,0; 1 872,9; 1 651,4; 0,0; 0,0; 167,7; 1 611,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT - Itália; 25 317,5; 37 672,6; 275,2; 0,0; 4 467,6; 5 856,0; 14 029,8; 3 287,2; 0,0; 0,0; 6 380,6; 27 339,3;;;;;;;;;;;;;;;;;;;;;;;;;
LV - Letónia; 1 122,5; 2 709,9; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1 061,8; 2 690,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LT - Lituânia; 5 027,8; 2 031,6; 0,0; 0,0; 12,0; 31,8; 0,0; 0,0; 4 589,8; 0,0; 320,5; 1 704,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU - Luxemburgo; 28,8; 304,9; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 18,2; 260,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MT - Malta; 0,0; 41,3; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 41,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL - Países Baixos; 60 581,9; 27 427,5; 0,0; 0,0; 4 173,9; 1 070,8; 54 528,3; 17 260,8; 903,4; 955,9; 746,1; 7 126,7;;;;;;;;;;;;;;;;;;
PL - Polónia; 103 741,8; 57 958,3; 98 835,3; 40 031,8; 175,3; 934,4; 2 377,9; 3 378,1; 0,0; 0,0; 1 581,6; 12 518,2;;;;;;;;;;;;;;;;;;;;
PT - Portugal; 3 392,6; 6 795,3; 115,2; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 3 277,4; 6 656,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CZ - República Checa; 41 081,3; 23 502,0; 36 294,7; 10 173,6; 185,8; 96,2; 200,7; 162,6; 3 246,3; 7 496,3; 1 140,7; 5 183,3;;;;;;;;;;;
RO - Roménia; 40 768,8; 22 360,9; 8 263,8; 2 591,8; 8 010,8; 3 410,9; 22 910,8; 7 391,5; 0,0; 2 887,0; 1 583,3; 5 798,3;;;;;;;;;;;;;;;
SE - Suécia; 29 503,6; 34 869,9; 3,7; 0,0; 3,0; 0,0; 0,0; 0,0; 17 588,6; 12 028,0; 11 530,3; 21 906,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO - Noruega; 116 093,6;208921,3; 203,4;46,1; 80 262,6;95282,3; 24 147,6;98038,6; 0,0;0; 11 394,1;15165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UK - Reino Unido; 206 608,0;x0; 52 619,1;x0; 95 016,5;x0; 40 925,4;x0; 16 960,2;x0; 1 028,9;x0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
