;;;;;;;
;;;;;;;
;;;;;;;
Produção primária de energia: total e por alguns tipos de produto energético;;;;;;;
;;;;;;;
Âmbito geográfico:;Europa  ( UE27 (2020), UE28, ZE19, DE, AT, BE, BG, CY, HR, DK, SK, SI, ES, EE, FI, FR, GR, HU, IE, IT, LV, LT, LU, MT, NL, PL, PT, CZ, RO, SE, NO, UK ) ;;;;;;
Operação estatística:;Questionários Anuais Conjuntos sobre Energia;;;;;;
Tipo de operação estatística:;-;;;;;;
Período ou momento de referência:;Ano civil;;;;;;
Periodicidade:;Anual;;;;;;
Entidade responsável:;Eurostat | AIE | UNECE | Entidades Nacionais;;;;;;
Notas:;"Os dados correspondem aos valores publicados no portal do Eurostat, à data de acesso referenciada na metainformação. Os dados podem ser rectificados pela entidade responsável sem que tal seja indicado. Por motivos alheios à Pordata, incoerências entre os totais e a soma das parcelas, bem como entre os valores de diferentes quadros podem também verificar-se.

Os dados são frequentemente revistos pelos Estados-membros devido a mudanças na metodologia.

O total abrange todos os produtos energéticos. Estes compreendem carvão e derivados, linhite e derivados, turfa e derivados, petróleo bruto e produtos petrolíferos (como GPL, gás de refinaria, combustível de motor, querosene, gasolina/gasóleo, fuelóleo residual), gás natural, gases manufacturados, calor derivado, energias renováveis (tais como energia hidroeléctrica, energia eólica, de biomassa, de resíduos ou geotérmica), energia eléctrica e energia nuclear.";;;;;;
Data de Acesso:;2021-12-20;;;;;;
;;;;;;;
Conceitos;;;;;;;
;;;;;;;
Nome;Descrição;;;Definição;;;
Produção de Energia Primária;A produção de energia primária inclui a obtenção de energia a partir de recursos naturais, como é o caso da extracção de carvão, de petróleo, de gás natural e da operação de barragens. ;;;Qualquer tipo de extracção de produtos energéticos a partir de fontes naturais para obter uma forma utilizável. A produção primária ocorre quando são exploradas fontes naturais, por exemplo, em minas de carvão, campos petrolíferos, centrais hidroeléctricas ou fabrico de biocombustíveis. Não se considera produção primária a transformação de energia de uma forma em outra, como a geração de electricidade ou de calor em centrais térmicas, ou a produção de coque em fornos de coque. (metainformação – Eurostat);;;
Combustíveis Sólidos;Os combustíveis sólidos incluem o carvão e os materiais energéticos fósseis que não são líquidos nem gasosos como o petróleo e o gás natural. ;;;Combustíveis fósseis sólidos como carvão, briquetes de carvão, coque, linhite, briquetes de carvão castanho, turfa, briquetes de turfa, alcatrão e benzol. Os combustíveis sólidos resultam da soma dos códigos de carvão e derivados e linhite e derivados. (metainformação – Eurostat);;;
Petróleo Bruto e Produtos Petrolíferos;;;;Petróleo bruto, matérias-primas e todos os produtos petrolíferos, como GPL, gás de refinaria, combustível de motor, querosenes, combustíveis para reactor do tipo gasolina, combustíveis para reactor tipo querosene, nafta, gasolina/gasóleo, fuelóleo residual, aguarrás mineral, lubrificantes, betume de petróleo, coque de petróleo e outros produtos petrolíferos. O petróleo bruto e produtos petrolíferos correspondem à soma de petróleo e matérias-primas e de todos os produtos petrolíferos. (metainformação – Eurostat);;;
Energia Nuclear;;;;Calor gerado em centrais nucleares, em resultado da fissão do combustível nuclear no interior do reactor. (metainformação – Eurostat);;;
Fonte de Energia Renovável;;;;Fonte de energia não fóssil e não mineral, renovável a partir dos ciclos naturais. (metainformação – INE) As fontes de energia renováveis incluem a biomassa, a energia hidráulica, a energia geotérmica, a energia eólica e a energia solar. (metainformação – Eurostat);;;
;;;;;;;
Séries;;;;;;;
;;;;;;;
Série;Unidade de Medida;Tipo Valor;Escala;Notas;;;
Tipo de produto energético;tep (tonelada equivalente de petróleo);Valor Absoluto;10^3;;;;
;;;;;;;
;;;;;;;
Notas de série;;;;;;;
;;;;;;;
Gás;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Dados obtidos em https:www.pordata.pt a 22-11-2022;;;;;;;